                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87613,                 1.6616,                 1.2851,                0.76226,                0.68337,                0.70059,                0.57993,                0.60766,                0.94894,                 1.0679,               0.000277,               0.000277,               0.000277
                      2,                0.72753,                0.97305,                 1.1598,                0.76103,                0.64969,                0.67357,                0.54063,                0.65663,                0.97959,                 1.0792,             0.00052721,             0.00052721,             0.00052721
                      3,                0.73104,                0.88172,                 1.1603,                0.63316,                0.73021,                 0.7245,                0.61879,                0.55717,                0.76677,                 1.0295,             0.00074993,             0.00074993,             0.00074993
                      4,                0.68269,                0.78846,                 1.1253,                0.70072,                0.73489,                0.76901,                0.66633,                0.53228,                0.65752,                0.99662,              0.0007093,              0.0007093,              0.0007093
                      5,                0.65435,                0.73261,                 1.1098,                0.71509,                0.75454,                0.77829,                0.68254,                0.50285,                0.60027,                0.98141,             0.00066807,             0.00066807,             0.00066807
                      6,                0.63104,                0.69175,                 1.0953,                0.74376,                0.71707,                0.77696,                0.69187,                0.46753,                0.56579,                0.95969,             0.00062683,             0.00062683,             0.00062683
                      7,                0.61303,                0.66297,                 1.0857,                0.72091,                0.75119,                0.78248,                0.70058,                0.46196,                 0.6002,                0.95284,              0.0005856,              0.0005856,              0.0005856
                      8,                0.59838,                0.64088,                 1.0771,                0.73443,                0.74788,                0.79272,                 0.7146,                0.44182,                0.54031,                0.94689,             0.00054437,             0.00054437,             0.00054437
                      9,                0.58311,                 0.6111,                 1.0682,                0.76226,                0.77076,                0.80465,                0.73202,                0.42023,                0.49288,                0.93119,             0.00050313,             0.00050313,             0.00050313
                     10,                0.56687,                0.59196,                 1.0568,                0.76473,                0.78588,                0.80993,                0.74511,                0.41345,                0.46803,                0.91654,              0.0004619,              0.0004619,              0.0004619
                     11,                  0.423,                0.46965,                0.93921,                0.77443,                0.79742,                0.81666,                0.75623,                 0.3993,                0.43007,                0.90691,             0.00042066,             0.00042066,             0.00042066
                     12,                0.40461,                0.44224,                0.92415,                0.92579,                0.79624,                0.82055,                0.76247,                0.38536,                0.41859,                0.90302,             0.00037943,             0.00037943,             0.00037943
                     13,                 0.3929,                0.41728,                0.91633,                0.78025,                0.79525,                0.82125,                0.76767,                0.37485,                0.40661,                0.89293,              0.0003382,              0.0003382,              0.0003382
                     14,                 0.3801,                0.39971,                0.90635,                 0.7914,                0.79496,                0.82513,                 0.7746,                0.36739,                0.39013,                0.88819,             0.00029696,             0.00029696,             0.00029696
                     15,                0.36793,                0.38443,                0.90081,                0.79892,                0.80576,                0.82939,                0.78368,                0.35663,                0.36801,                0.88182,             0.00025573,             0.00025573,             0.00025573
                     16,                0.36024,                0.37115,                0.89655,                0.79621,                0.81431,                0.82937,                0.78363,                0.34882,                0.36127,                 0.8763,              0.0002145,              0.0002145,              0.0002145
                     17,                0.34941,                0.35641,                0.88906,                0.79864,                 0.8127,                0.83025,                0.78606,                0.34304,                 0.3467,                0.87003,             0.00017326,             0.00017326,             0.00017326
                     18,                 0.3408,                0.34387,                0.88446,                0.80021,                0.81551,                0.83187,                0.79186,                0.33554,                0.33843,                0.86607,             0.00013203,             0.00013203,             0.00013203
                     19,                0.33191,                0.33034,                0.87978,                0.81092,                0.81144,                0.83236,                0.79253,                0.33016,                0.33092,                0.86358,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     20,                0.32511,                0.32168,                0.87593,                0.80187,                0.81942,                0.83306,                0.79431,                0.32561,                0.32587,                 0.8609,             4.9564e-05,             4.9564e-05,             4.9564e-05
